content_id,title,url,partner,placement,link_count
cbt-02a3e0d6ed4f,China Airport Transfer Guide (2026): From Airports to City Centers,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,Airalo,INLINE,1
cbt-02a3e0d6ed4f,China Airport Transfer Guide (2026): From Airports to City Centers,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,Booking,INLINE,1
cbt-02a3e0d6ed4f,China Airport Transfer Guide (2026): From Airports to City Centers,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,Klook,INLINE,1
cbt-02a3e0d6ed4f,China Airport Transfer Guide (2026): From Airports to City Centers,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,Trip.com,INLINE,1
cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,Airalo,INLINE,2
cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,Aviasales,INLINE,2
cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,Booking,INLINE,2
cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,Klook,INLINE,2
cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,NordVPN,INLINE,1
cbt-07563e9b51cc,How to Use Alipay & WeChat Pay in China (2026),https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,SafetyWing,INLINE,2
cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,Airalo,INLINE,2
cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,Aviasales,INLINE,2
cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,Booking,INLINE,2
cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,Klook,INLINE,2
cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,NordVPN,INLINE,1
cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,SafetyWing,INLINE,2
